CD_GEOCODU;SIGLA;Estado;gini2018;renda2018;QT_EMP;Região;RenunciaFiscal2018;RenunciaFiscal2018ValorMilhoes
42;SC;SANTA CATARINA;0.417;1660;29;Sul;27.1;5803
43;RS;RIO GRANDE DO SUL;0.485;1705;37;Sul;24.3;8457
35;SP;SÃO PAULO;0.539;1898;282;Suldeste;10.7;15004
41;PR;PARANÁ;0.493;1607;27;Sul;30.4;9169
32;ES;ESPIRITO SANTO;0.509;1295;5;Suldeste;11;1126
31;MG;MINAS GERAIS;0.492;1322;46;Suldeste;9.7;4766
52;GO;GOIÁS;0.471;1323;4;Centro-oeste;49.9;7862
16;AP;AMAPÁ;0.547;857;0.9;Norte;0;
26;PE;PERNAMBUCO;0.534;871;5;Nordeste;12.5;1982
11;RO;RONDÔNIA;0.497;1113;0.9;Norte;0;
51;MT;MATO GROSSO;0.463;1386;5;Centro-oeste;28.8;3505
15;PA;PARÁ;0.561;863;4;Norte;0;
12;AC;ACRE;0.557;909;0.9;Norte;0;
27;AL;ALAGOAS;0.55;714;0.9;Nordeste;14.9;597
13;AM;AMAZONAS;0.546;791;1;Norte;69.2;6406
23;CE;CEARÁ;0.548;855;14;Nordeste;7.7;923
33;RJ;RIO DE JANEIRO;0.543;1689;103;Suldeste;25.6;9397
14;RR;RORAIMA;0.567;1204;0.9;Norte;0;
50;MS;MATO GROSSO DO SUL;0.491;1439;3;Centro-oeste;0;
17;TO;TOCANTINS;0.528;1045;2;Norte;0;
25;PB;PARAÍBA;0.547;898;2;Nordeste;27.4;1545
24;RN;RIO GRANDE DO NORTE;0.535;956;3;Nordeste;7.3;414
21;MA;MARANHÃO;0.526;605;4;Nordeste;20.2;1417
29;BA;BAHIA;0.548;841;14;Nordeste;12.6;2966
28;SE;SERGIPE;0.575;906;2;Nordeste;0;
22;PI;PIAUÍ;0.526;817;0.9;Nordeste;12.4;557
53;DF;DISTRITO FEDERAL;0.569;2460;10;Centro-oeste;14;1169
